Price,Area,Bedrooms,Bathrooms,Location,Builder,Status
25 L,728 ,2 ,2 Bathrooms,Avadi,nan,Ready to move
26 L,739 ,2 ,1 Bathrooms,Avadi,nan,Ready to move
60 L,1150 ,3 ,3 Bathrooms,Avadi,nan,Ready to move
48 L,931 ,2 ,2 Bathrooms,Avadi,nan,Ready to move
20 L,317 ,1 ,1 Bathrooms,Avadi,nan,Ready to move
64.63 L,1539 ,3 ,nan,Avadi,VK Manoj Enclave,Ready to move
35.19 L,809 ,2 ,nan,Avadi,Arjun Murali,Ready to move
36.25 L,830 ,2 ,2 Bathrooms,Avadi,nan,Under Construction
67.68 L,1612 ,3 ,3 Bathrooms,Avadi,nan,Ready to move
22.64 L,453 ,2 ,nan,Avadi,Mahindra Happinest,Under Construction
32 L,664 ,2 ,2 Bathrooms,Avadi,nan,Ready to move
30 L,677 ,2 ,2 Bathrooms,Avadi,Mahindra Happinest,Ready to move
33.63 L,885 ,2 ,2 Bathrooms,Avadi,nan,Under Construction
30 L,677 ,1 ,1 Bathrooms,Avadi,Mahindra Happinest,Ready to move
43 L,1081 ,2 ,nan,Avadi,Pragnya Hazel,Ready to move
26.1 L,1220 ,2 ,2 Bathrooms,Avadi,S Promoters Gowardhanagiri,Ready to move
30.56 L,1220 ,2 ,2 Bathrooms,Avadi,nan,Ready to move
36 L,841 ,2 ,2 Bathrooms,Avadi,MS MM Thulir,Ready to move
20 L,533 ,1 ,1 Bathrooms,Avadi,nan,Ready to move
32 L,702 ,2 ,3 Bathrooms,Avadi,nan,Ready to move
48.5 L,1229 ,3 ,2 Bathrooms,Avadi,Pragnya Hazel,Under Construction
62.03 L,1477 ,3 ,nan,Avadi,VK Manoj Enclave,Ready to move
36.1 L,830 ,2 ,nan,Avadi,Arjun Murali,Ready to move
49.54 L,1180 ,3 ,3 Bathrooms,Avadi,nan,Ready to move
23.21 L,520 ,1 ,1 Bathrooms,Avadi,Mahindra Happinest,Under Construction
48 L,860 ,2 ,2 Bathrooms,Avadi,nan,Ready to move
17.39 L,348 ,1 ,nan,Avadi,Mahindra Happinest,Under Construction
34.23 L,901 ,2 ,2 Bathrooms,Avadi,nan,Under Construction
62.66 L,1567 ,3 ,nan,Avadi,Pragnya Hazel,Ready to move
36 L,841 ,2 ,2 Bathrooms,Avadi,MS MM Thulir,Ready to move
64.05 L,1477 ,3 ,3 Bathrooms,Avadi,Adir Amber,Under Construction
39.22 L,934 ,2 ,nan,Avadi,VK Manoj Enclave,Ready to move
22.5 L,535 ,2 ,2 Bathrooms,Avadi,MCB Marvel,Under Construction
34.65 L,770 ,2 ,nan,Avadi,Golden Shri Vaaru,Ready to move
23 L,533 ,1 ,1 Bathrooms,Avadi,Mahindra Happinest,Under Construction
36 L,810 ,2 ,2 Bathrooms,Avadi,nan,Under Construction
31.95 L,841 ,2 ,2 Bathrooms,Avadi,nan,Under Construction
49.15 L,1299 ,3 ,nan,Avadi,Pragnya Hazel,Ready to move
20 L,446 ,1 ,1 Bathrooms,Avadi,nan,Under Construction
41.49 L,988 ,2 ,nan,Avadi,VK Manoj Enclave,Ready to move
39.82 L,885 ,2 ,nan,Avadi,Golden Shri Vaaru,Ready to move
23 L,533 ,1 ,1 Bathrooms,Avadi,Mahindra Happinest,Under Construction
34.96 L,920 ,2 ,1 Bathrooms,Avadi,nan,Under Construction
58.45 L,1477 ,3 ,3 Bathrooms,Avadi,Pragnya Hazel,Under Construction
19 L,522 ,1 ,1 Bathrooms,Avadi,VGN Ernest,Ready to move
26.75 L,677 ,1 ,2 Bathrooms,Avadi,Mahindra Happinest,Ready to move
19 L,522 ,1 ,1 Bathrooms,Avadi,VGN Ernest,Ready to move
